ID,Sales
T1188341,63541
T1188342,40347
T1188343,64440
T1188344,39213
T1188345,39729
T1188346,64440
T1188347,63542
T1188348,49731
T1188349,54387
T1188350,34396
T1188351,54640
T1188352,39730
T1188353,39449
T1188354,44121
T1188355,45020
T1188356,35809
T1188357,50249
T1188358,24784
T1188359,40348
T1188360,55540
T1188361,30093
T1188362,40482
T1188363,45021
T1188364,30091
T1188365,40463
T1188366,35191
T1188367,39729
T1188368,34628
T1188369,39728
T1188370,53918
T1188371,39726
T1188372,54636
T1188373,34906
T1188374,35804
T1188375,64437
T1188376,63303
T1188377,35791
T1188378,39727
T1188379,30370
T1188380,64438
T1188381,35187
T1188382,39728
T1188383,35528
T1188384,35188
T1188385,44400
T1188386,39446
T1188387,64439
T1188388,63821
T1188389,34630
T1188390,76547
T1188391,39447
T1188392,53303
T1188393,64423
T1188394,49966
T1188395,39447
T1188396,64438
T1188397,39450
T1188398,44128
T1188399,39731
T1188400,50253
T1188401,40352
T1188402,24271
T1188403,64446
T1188404,40353
T1188405,39735
T1188406,26769
T1188407,63548
T1188408,39219
T1188409,47023
T1188410,27286
T1188411,63524
T1188412,24788
T1188413,39455
T1188414,30099
T1188415,39736
T1188416,44127
T1188417,54646
T1188418,39220
T1188419,53929
T1188420,63830
T1188421,24273
T1188422,53311
T1188423,63819
T1188424,39456
T1188425,39737
T1188426,39455
T1188427,63828
T1188428,39734
T1188429,64423
T1188430,53924
T1188431,39451
T1188432,25402
T1188433,63544
T1188434,39215
T1188435,34915
T1188436,53924
T1188437,63826
T1188438,27283
T1188439,53026
T1188440,39733
T1188441,35173
T1188442,40350
T1188443,39452
T1188444,45023
T1188445,40351
T1188446,30221
T1188447,64444
T1188448,63546
T1188449,39733
T1188450,39217
T1188451,55542
T1188452,25404
T1188453,53926
T1188454,35195
T1188455,64445
T1188456,27004
T1188457,29858
T1188458,40343
T1188459,64431
T1188460,24262
T1188461,49954
T1188462,39717
T1188463,24489
T1188464,53909
T1188465,40335
T1188466,35795
T1188467,29587
T1188468,39196
T1188469,39436
T1188470,25388
T1188471,39717
T1188472,44390
T1188473,44389
T1188474,50236
T1188475,25389
T1188476,49720
T1188477,39201
T1188478,39437
T1188479,25389
T1188480,49956
T1188481,54393
T1188482,44391
T1188483,54629
T1188484,54387
T1188485,30081
T1188486,24491
T1188487,39570
T1188488,39435
T1188489,39716
T1188490,54390
T1188491,39432
T1188492,34893
T1188493,35198
T1188494,54624
T1188495,32081
T1188496,50233
T1188497,29584
T1188498,39713
T1188499,39714
T1188500,63291
T1188501,35793
T1188502,39714
T1188503,34659
T1188504,34894
T1188505,35175
T1188506,53907
T1188507,39198
T1188508,39715
T1188509,31801
T1188510,39715
T1188511,35176
T1188512,45005
T1188513,34899
T1188514,39197
T1188515,63809
T1188516,39716
T1188517,53291
T1188518,39202
T1188519,53918
T1188520,24256
T1188521,55528
T1188522,39442
T1188523,30085
T1188524,43879
T1188525,64434
T1188526,30086
T1188527,39442
T1188528,34390
T1188529,53905
T1188530,39442
T1188531,54915
T1188532,39207
T1188533,39724
T1188534,39723
T1188535,63536
T1188536,64435
T1188537,63818
T1188538,63818
T1188539,50243
T1188540,45014
T1188541,39443
T1188542,64436
T1188543,39444
T1188544,39208
T1188545,39713
T1188546,32710
T1188547,39209
T1188548,54634
T1188549,30085
T1188550,40340
T1188551,39206
T1188552,25390
T1188553,39439
